H|070316|996
231||FEROZPUR|||||||||00059||2148|||||||
233||SAWAIMADHOPUR|||||||||00059||1032|||||||
234||SIKAR|||||||||00059||1028|||||||
236||KHANDWA|||||||||00059||1754|||||||
237||DHAMNOD|||||||||00059||1726|||||||
238||BARELI|||||||||00059||2544|||||||
239||BIAORA|||||||||00059||880|||||||
240||TIKAMGARH|||||||||00059||1820|||||||
241||MORADABAD|||||||||00059||1558|||||||
242||SAHARANPUR|||||||||00059||1602|||||||
243||VIDISHA|||||||||00059||1826|||||||
244||BERHAMPORE|||||||||00059||2223|||||||
245||BURDWAN|||||||||00059||2570|||||||
246||ASANSOL|||||||||00059||2220|||||||
247||SIURI|||||||||00059||2301|||||||
248||RAICHUR|||||||||00059||751|||||||
250||CHITRADURGA|||||||||00059||658|||||||
251||TIRUPATTUR|||||||||00059||2390|||||||
252||THIRUVANAMALAI|||||||||00059||2560|||||||
253||KASARGOD|||||||||00059||2567|||||||
254||KEONJHAR|||||||||00059||2575|||||||
255||BULDHANA|||||||||00059||1846|||||||
256||ATHANI|||||||||00059||1066|||||||
257||CHIKODI|||||||||00059||654|||||||
258||BAGALKOT|||||||||00059||624|||||||
259||GOKAK|||||||||00059||2523|||||||
260||SAUNDATTI|||||||||00059||2521|||||||
261||RAIBAG|||||||||00059||2524|||||||
262||RAMDURG|||||||||00059||612|||||||
263||JAMKHANDI|||||||||00059||695|||||||
264||PERINTHALMANNA|||||||||00059||833|||||||
265||BOKARO|||||||||00059||552|||||||
267||AMROHA|||||||||00059||2352|||||||
268||SITAPUR|||||||||00059||1638|||||||
269||HARDOI|||||||||00059||1465|||||||
270||FAIZABAD|||||||||00059||1433|||||||
271||KANCHIPURAM|||||||||00059||2566|||||||
272||CHENGALPATTU|||||||||00059||2383|||||||
273||THIRUVALLUR|||||||||00059||1289|||||||
275||SAMBALPUR|||||||||00059||2112|||||||
276||PRATAPGARH|||||||||00059||1583|||||||
277||MIRZAPUR|||||||||00059||1552|||||||
278||ROORKEE|||||||||00059||2193|||||||
279||BIJNOR|||||||||00059||1397|||||||
280||AKBARPUR|||||||||00059||1342|||||||
281||UNNAO|||||||||00059||1657|||||||
282||FATEHPUR|||||||||00059||1438|||||||
283||BAHRAICH|||||||||00059||1370|||||||
284||BASTI|||||||||00059||1387|||||||
285||DEORIA|||||||||00059||1424|||||||
286||MANDYA|||||||||00059||731|||||||
287||MADEKERI|||||||||00059||726|||||||
288||ADONI|||||||||00059||2551|||||||
289||NANDYAL|||||||||00059||2552|||||||
290||HINDUPUR|||||||||00059||45|||||||
291||GADWAL|||||||||00059||2527|||||||
292||NAGAUR|||||||||00059||1003|||||||
293||SRIGANGANAGAR|||||||||00059||965|||||||
294||HANUMANGARH|||||||||00059||967|||||||
295||ABOHAR|||||||||00059||2322|||||||
296||DHULE|||||||||00059||1857|||||||
297||SINDHANUR|||||||||00059||2557|||||||
299||PURULIA|||||||||00059||2286|||||||
301||BILASPUR|||||||||00059||470|||||||
302||THANE|||||||||00059||1981|||||||
303||GURGAON|||||||||00059||422|||||||
304||GHAZIABAD|||||||||00059||1449|||||||
305||SAGAR|||||||||00059||1799|||||||
306||ALIGARH|||||||||00059||1344|||||||
307||ALLAHABAD|||||||||00059||1583|||||||
308||HOSPET|||||||||00059||2342|||||||
309||WARANGAL|||||||||00059||84|||||||
310||KANNUR|||||||||00059||699|||||||
311||BALASORE|||||||||00059||2526|||||||
312||GUWAHATI|||||||||00059||126|||||||
313||MALDA|||||||||00059||2444|||||||
314||GORAKHPUR|||||||||00059||1457|||||||
315||DAVANGERE|||||||||00059||2556|||||||
316||BAREILLY|||||||||00059||1383|||||||
317||VARANASI|||||||||00059||1661|||||||
318||HYDERABAD|||||||||00059||47|||||||
319||DELHI|||||||||00059||11|||||||
320||PUNE|||||||||00059||1948|||||||
321||CHENNAI|||||||||00059||14|||||||
322||BANGALORE|||||||||00059||13|||||||
323||MUMBAI|||||||||00059||12|||||||
324||NAGPUR|||||||||00059||1921|||||||
325||NASIK|||||||||00059||1927|||||||
326||VAIZAG|||||||||00059||81|||||||
327||VIJAYAWADA|||||||||00059||2307|||||||
328||KOLKATA|||||||||00059||15|||||||
329||GOA|||||||||00059||2454|||||||
330||MADURAI|||||||||00059||1164|||||||
331||BARODA|||||||||00059||2376|||||||
332||TRIVANDRUM|||||||||00059||846|||||||
333||COCHIN|||||||||00059||16|||||||
334||RAJKOT|||||||||00059||374|||||||
335||AURANGABAD|||||||||00059||2211|||||||
336||AHMEDABAD|||||||||00059||310|||||||
337||JAIPUR|||||||||00059||969|||||||
338||COIMBATORE|||||||||00059||1084|||||||
339||MANGALORE|||||||||00059||732|||||||
340||BHUBANESWAR|||||||||00059||2422|||||||
341||CHANDIGARH|||||||||00059||242|||||||
342||INDORE|||||||||00059||1744|||||||
343||LUDHIANA|||||||||00059||889|||||||
344||KOLHAPUR|||||||||00059||1892|||||||
345||AGRA|||||||||00059||1339|||||||
346||VELLORE|||||||||00059||1308|||||||
347||DINDIGUL|||||||||00059||1090|||||||
348||KARUR|||||||||00059||1164|||||||
349||JABALPUR|||||||||00059||1745|||||||
350||GWALIOR|||||||||00059||1737|||||||
351||RAJAHMUNDRY|||||||||00059||38|||||||
352||NELLORE|||||||||00059||65|||||||
353||JAMNAGAR|||||||||00059||347|||||||
354||SHIMLA|||||||||00059||499|||||||
355||AMRAVATI|||||||||00059||2388|||||||
356||KOPERGAON|||||||||00059||2541|||||||
357||ALWAR|||||||||00059||930|||||||
358||AJMER|||||||||00059||928|||||||
359||KURNOOL|||||||||00059||58|||||||
360||BHATINDA|||||||||00059||2134|||||||
361||AKOLA|||||||||00059||1830|||||||
362||AMRITSAR|||||||||00059||2127|||||||
363||THANJAVUR|||||||||00059||1276|||||||
364||MEHSANA|||||||||00059||358|||||||
365||DURGAPUR|||||||||00059||2238|||||||
366||BHAVNAGAR|||||||||00059||317|||||||
367||HIMATNAGAR|||||||||00059||343|||||||
368||JODHPUR|||||||||00059||975|||||||
369||MYSORE|||||||||00059||742|||||||
370||JAGADHARI|||||||||00059||2528|||||||
371||JAMSHEDPUR|||||||||00059||574|||||||
372||KARAIKUDI|||||||||00059||1308|||||||
373||PANIPAT|||||||||00059||446|||||||
374||BHILWARA|||||||||00059||944|||||||
375||SILIGURI|||||||||00059||2464|||||||
376||KOTA|||||||||00059||985|||||||
377||HASSAN|||||||||00059||677|||||||
378||SANGLI|||||||||00059||1960|||||||
379||POLLACHI|||||||||00059||1084|||||||
380||ROURKELA|||||||||00059||2115|||||||
381||HUBLI|||||||||00059||690|||||||
382||HISSAR|||||||||00059||425|||||||
383||DEHRADUN|||||||||00059||1682|||||||
384||NAGERCOIL|||||||||00059||1125|||||||
385||BELGAUM|||||||||00059||612|||||||
386||KARIMNAGAR|||||||||00059||55|||||||
387||ELURU|||||||||00059||2344|||||||
388||SURAT|||||||||00059||387|||||||
389||ERODE|||||||||00059||1095|||||||
390||BHOPAL|||||||||00059||879|||||||
391||ANAND|||||||||00059||313|||||||
392||NAVSARI|||||||||00059||367|||||||
393||CHANDRAPUR|||||||||00059||1848|||||||
394||TRICHUR|||||||||00059||844|||||||
395||BHILAI|||||||||00059||2374|||||||
396||JALANDHAR|||||||||00059||2158|||||||
397||PATIALA|||||||||00059||904|||||||
398||AMBALA|||||||||00059||409|||||||
399||AHMEDNAGAR|||||||||00059||1827|||||||
400||TIRUPATI|||||||||00059||2550|||||||
401||GUNTUR|||||||||00059||44|||||||
402||KOLLAM|||||||||00059||810|||||||
403||JALGAON|||||||||00059||1873|||||||
404||TIRUNELVELI|||||||||00059||1288|||||||
405||TIRUCHIRAPALLY|||||||||00059||1287|||||||
406||CALICUT|||||||||00059||2568|||||||
407||KOTTAYAM|||||||||00059||16|||||||
408||PALGHAT|||||||||00059||827|||||||
409||SOLAPUR|||||||||00059||1970|||||||
410||RAIPUR|||||||||00059||2186|||||||
411||UDAIPUR|||||||||00059||1036|||||||
412||LUCKNOW|||||||||00059||1528|||||||
413||KANPUR|||||||||00059||1497|||||||
414||PONDICHERRY|||||||||00059||2120|||||||
415||SALEM|||||||||00059||1253|||||||
416||BHARUCH|||||||||00059||316|||||||
417||RAMNATHPURAM|||||||||00059||1249|||||||
418||DHANBAD|||||||||00059||562|||||||
419||HOSHIARPUR|||||||||00059||2155|||||||
420||UDIPI|||||||||00059||782|||||||
421||CHIKMAGALUR|||||||||00059||650|||||||
423||KUNDAPUR|||||||||00059||732|||||||
424||ANKLESHWAR|||||||||00059||387|||||||
425||HALOL|||||||||00059||341|||||||
427||JALNA|||||||||00059||2211|||||||
428||PAITHAN|||||||||00059||2211|||||||
430||PATNA|||||||||00059||225|||||||
431||JAISINGPUR|||||||||00059||1892|||||||
432||ALLEPY|||||||||00059||16|||||||
433||THRISSUR|||||||||00059||16|||||||
434||NANDURBAR|||||||||00059||1926|||||||
435||CHOPDA|||||||||00059||2600|||||||
436||CHALISGAON|||||||||00059||2599|||||||
437||BHIWANDI|||||||||00059||1842|||||||
438||JAMMU|||||||||00059||519|||||||
439||KANNAD|||||||||00059||1882|||||||
440||SANGAMNER|||||||||00059||1959|||||||
441||SHRIRAMPUR|||||||||00059||2406|||||||
442||RAHURI|||||||||00059||1952|||||||
443||MANMAD|||||||||00059||1907|||||||
444||SHAHADA|||||||||00059||1964|||||||
445||SHIRPUR|||||||||00059||2610|||||||
446||VITA|||||||||00059||1828|||||||
447||PHALTAN|||||||||00059||1944|||||||
448||SANGOLA|||||||||00059||1961|||||||
449||PACHORA|||||||||00059||1873|||||||
450||DONDAICHA|||||||||00059||2601|||||||
451||AMALNER|||||||||00059||1832|||||||
452||TASGAON|||||||||00059||2613|||||||
453||DAUND|||||||||00059||1853|||||||
454||AKLUJ|||||||||00059||2598|||||||
455||NANDGAON|||||||||00059||1924|||||||
456||TALODE|||||||||00059||1926|||||||
457||ERANDOL|||||||||00059||1860|||||||
458||ISLAMPUR|||||||||00059||2539|||||||
459||INDAPUR|||||||||00059||1872|||||||
460||KURUDWADI|||||||||00059||2604|||||||
461||PAROLA|||||||||00059||1873|||||||
462||SAKRI|||||||||00059||1926|||||||
463||YAWAL|||||||||00059||2615|||||||
464||KOREGAON|||||||||00059||1960|||||||
465||SASVAD|||||||||00059||2608|||||||
466||MOHOL|||||||||00059||2605|||||||
467||TARNAKA|||||||||00059||47|||||||
468||RAJAJI NAGAR|||||||||00059||13|||||||
469||MADIVALA|||||||||00059||13|||||||
470||VASHI|||||||||00059||2310|||||||
471||CHINCHWAD|||||||||00059||1948|||||||
472||HOSUR|||||||||00059||2324|||||||
