H|070316|101156
10381|CBC
10381|CD
10381|DDF
10381|ECF
10381|OEW
10381|RCD
10385|CBC
10385|CD
10385|DDF
10385|ECF
10385|OEW
10385|RCD
10406|CBC
10406|CD
10406|DDF
10406|ECF
10406|OEW
10406|RCD
10408|CBC
10408|CD
10408|DDF
10408|ECF
10408|OEW
10408|RCD
10411|CBC
10411|CD
10411|DDF
10411|ECF
10411|OEW
10411|RCD
10412|CBC
10412|CD
10412|DDF
10412|ECF
10412|OEW
10412|RCD
10418|CBC
10418|CD
10418|DDF
10418|ECF
10418|OEW
10418|RCD
10419|CBC
10419|CD
10419|DDF
10419|ECF
10419|OEW
10419|RCD
10421|CBC
10421|CD
10421|DDF
10421|ECF
10421|OEW
10421|RCD
10422|CBC
10422|CD
10422|DDF
10422|ECF
10422|OEW
10422|RCD
10430|CBC
10430|CD
10430|DDF
10430|ECF
10430|OEW
10430|RCD
10436|CBC
10436|CD
10436|DDF
10436|ECF
10436|OEW
10436|RCD
10445|CBC
10445|CD
10445|DDF
10445|ECF
10445|OEW
10445|RCD
10450|CBC
10450|CD
10450|DDF
10450|ECF
10450|OEW
10450|RCD
10452|CBC
10452|CD
10452|DDF
10452|ECF
10452|OEW
10452|RCD
10454|CBC
10454|CD
10454|DDF
10454|ECF
10454|OEW
10454|RCD
10455|CBC
10455|CD
10455|DDF
10455|ECF
10455|OEW
10455|RCD
10458|CBC
10458|CD
10458|DDF
10458|ECF
10458|OEW
10458|RCD
10467|CBC
10467|CD
10467|DDF
10467|ECF
10467|OEW
10467|RCD
10468|CBC
10468|CD
10468|DDF
10468|ECF
10468|OEW
10468|RCD
10475|CBC
10475|CD
10475|DDF
10475|ECF
10475|OEW
10475|RCD
10502|CBC
10502|CD
10502|DDF
10502|ECF
10502|OEW
10502|RCD
10537|CBC
10537|CD
10537|DDF
10537|ECF
10537|OEW
10537|RCD
10544|CBC
10544|CD
10544|DDF
10544|ECF
10544|OEW
10544|RCD
10549|CBC
10549|CD
10549|DDF
10549|ECF
10549|OEW
10549|RCD
10553|CBC
10553|CD
10553|DDF
10553|ECF
10553|OEW
10553|RCD
10553|SCE
10554|CBC
10554|CD
10554|DDF
10554|ECF
10554|OEW
10554|RCD
10554|SCE
10624|CBC
10624|CD
10624|DDF
10624|ECF
10624|OEW
10624|RCD
10632|CBC
10632|CD
10632|DDF
10632|ECF
10632|OEW
10632|RCD
10633|CBC
10633|CD
10633|DDF
10633|ECF
10633|OEW
10633|RCD
10634|CBC
10634|CD
10634|DDF
10634|ECF
10634|OEW
10634|RCD
10635|CBC
10635|CD
10635|DDF
10635|ECF
10635|OEW
10635|RCD
10648|CBC
10648|CD
10648|DDF
10648|ECF
10648|OEW
10648|RCD
10654|CBC
10654|CD
10654|DDF
10654|ECF
10654|OEW
10654|RCD
10655|CBC
10655|CD
10655|DDF
10655|ECF
10655|OEW
10655|RCD
10657|CBC
10657|CD
10657|DDF
10657|ECF
10657|OEW
10657|RCD
10658|CBC
10658|CD
10658|DDF
10658|ECF
10658|OEW
10658|RCD
10659|CBC
10659|CD
10659|DDF
10659|ECF
10659|OEW
10659|RCD
10710|CBC
10710|CD
10710|DDF
10710|ECF
10710|OEW
10710|RCD
10781|CBC
10781|CD
10781|DDF
10781|ECF
10781|OEW
10781|RCD
10807|CBC
10807|CD
10807|DDF
10807|ECF
10807|OEW
10807|RCD
10808|CBC
10808|CD
10808|DDF
10808|ECF
10808|OEW
10808|RCD
10809|CBC
10809|CD
10809|DDF
10809|ECF
10809|OEW
10809|RCD
